id,length,width,height,volume
1,3,4,2,24
2,5,2,1,10
3,7,3,2,42
4,2,2,5,20
5,9,4,3,108
6,6,6,6,216
7,10,1,2,20
8,4,5,3,60
9,8,7,1,56
10,3,3,3,27
11,2,4,6,48
12,5,5,5,125
13,7,2,4,56
14,1,8,9,72
15,9,9,2,162
16,4,4,4,64
17,6,3,7,126
18,8,2,3,48
19,3,10,5,150
20,2,1,9,18
21,10,10,1,100
22,7,7,7,343
23,5,3,8,120
24,1,1,1,1
25,2,9,4,72
26,3,6,2,36
27,4,8,5,160
28,6,2,9,108
29,8,3,3,72
30,9,5,6,270
31,10,4,4,160
32,1,7,3,21
33,2,5,5,50
34,3,9,7,189
35,4,1,8,32
36,5,2,6,60
37,6,9,4,216
38,7,5,2,70
39,8,8,8,512
40,9,3,1,27
